,agent0_elephant,agent1_elephant,agent2_elephant
0,0.0208333333333333,0.0833333333333333,0.0104166666666666
1,0.0,0.0729166666666666,0.03125
2,0.0520833333333333,0.0833333333333333,0.0520833333333333
3,0.0416666666666666,0.125,0.0
4,0.0104166666666666,0.0833333333333333,0.03125
5,0.0,0.0625,0.03125
6,0.0104166666666666,0.1458333333333333,0.1145833333333333
7,0.0520833333333333,0.0729166666666666,0.0625
8,0.0104166666666666,0.0416666666666666,0.0416666666666666
9,0.1354166666666666,0.3020833333333333,0.08333333333333333
