,agent0_giraffe,agent1_giraffe,agent2_giraffe
0,0.0104166666666666,0.0104166666666666,0.0
1,0.03125,0.1041666666666666,0.0104166666666666
2,0.125,0.1145833333333333,0.0
3,0.0416666666666666,0.0729166666666666,0.03125
4,0.0104166666666666,0.0208333333333333,0.0104166666666666
5,0.03125,0.03125,0.0104166666666666
6,0.0208333333333333,0.0208333333333333,0.1354166666666666
7,0.0416666666666666,0.0729166666666666,0.0
8,0.0416666666666666,0.1354166666666666,0.0104166666666666
9,0.03125,0.0520833333333333,0.03125
