,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,0.046875,0.0052083333333333,0.0260416666666666,0.0052083333333333,0.0052083333333333,0.0416666666666666
1,0.046875,0.0260416666666666,0.015625,0.0260416666666666,0.0208333333333333,0.0260416666666666
2,0.0885416666666666,0.0833333333333333,0.015625,0.0104166666666666,0.0104166666666666,0.0208333333333333
3,0.0572916666666666,0.0364583333333333,0.0625,0.0208333333333333,0.0520833333333333,0.0208333333333333
4,0.1197916666666666,0.09375,0.0260416666666666,0.0364583333333333,0.0677083333333333,0.0989583333333333
5,0.0520833333333333,0.0520833333333333,0.0677083333333333,0.0833333333333333,0.046875,0.0625
6,0.0572916666666666,0.09375,0.1197916666666666,0.0,0.015625,0.03125
7,0.0104166666666666,0.03125,0.0260416666666666,0.0,0.125,0.0729166666666666
8,0.1041666666666666,0.1614583333333333,0.0208333333333333,0.0104166666666666,0.0052083333333333,0.0104166666666666
9,0.0885416666666666,0.1927083333333333,0.1302083333333333,0.015625,0.0104166666666666,0.0260416666666666
10,0.0572916666666666,0.0677083333333333,0.0729166666666666,0.0208333333333333,0.2083333333333333,0.03125
11,0.0416666666666666,0.0729166666666666,0.0104166666666666,0.0104166666666666,0.046875,0.03125
12,0.0625,0.0729166666666666,0.0104166666666666,0.1145833333333333,0.0833333333333333,0.0260416666666666
13,0.0885416666666666,0.1822916666666666,0.0364583333333333,0.1041666666666666,0.0989583333333333,0.0989583333333333
14,0.0416666666666666,0.2083333333333333,0.1145833333333333,0.0885416666666666,0.0364583333333333,0.0260416666666666
15,0.0729166666666666,0.0104166666666666,0.0208333333333333,0.0052083333333333,0.0208333333333333,0.0364583333333333
16,0.1145833333333333,0.0520833333333333,0.0104166666666666,0.0885416666666666,0.03125,0.0833333333333333
17,0.078125,0.09375,0.0,0.140625,0.0208333333333333,0.078125
18,0.046875,0.09375,0.0520833333333333,0.0260416666666666,0.015625,0.0572916666666666
19,0.0833333333333333,0.0572916666666666,0.0104166666666666,0.0052083333333333,0.0416666666666666,0.026041666666666668
