,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,0.0,0.0989583333333333,0.0572916666666666,0.0572916666666666,0.046875,0.0833333333333333
1,0.0052083333333333,0.0052083333333333,0.1041666666666666,0.0520833333333333,0.1614583333333333,0.0625
2,0.0,0.0,0.1510416666666666,0.0885416666666666,0.0520833333333333,0.203125
3,0.0,0.0,0.046875,0.1041666666666666,0.015625,0.046875
4,0.0,0.0052083333333333,0.0052083333333333,0.0208333333333333,0.0520833333333333,0.0885416666666666
5,0.0052083333333333,0.0,0.0,0.0,0.09375,0.0677083333333333
6,0.0,0.0,0.078125,0.1145833333333333,0.09375,0.125
7,0.0,0.0104166666666666,0.0052083333333333,0.0625,0.203125,0.296875
8,0.0,0.0989583333333333,0.109375,0.2083333333333333,0.2864583333333333,0.171875
9,0.0,0.015625,0.0052083333333333,0.0104166666666666,0.0885416666666666,0.1979166666666666
10,0.0,0.0,0.0,0.1302083333333333,0.0625,0.21875
11,0.0208333333333333,0.0052083333333333,0.0104166666666666,0.0520833333333333,0.1927083333333333,0.375
12,0.0104166666666666,0.0,0.0104166666666666,0.03125,0.1302083333333333,0.109375
13,0.0,0.0052083333333333,0.0677083333333333,0.1145833333333333,0.078125,0.0260416666666666
14,0.0,0.03125,0.03125,0.0729166666666666,0.046875,0.1197916666666666
15,0.0,0.1614583333333333,0.109375,0.109375,0.1458333333333333,0.3125
16,0.0,0.0052083333333333,0.0052083333333333,0.1666666666666666,0.0572916666666666,0.0885416666666666
17,0.0,0.0208333333333333,0.0,0.0,0.0416666666666666,0.046875
18,0.0,0.0,0.015625,0.1041666666666666,0.0260416666666666,0.0625
19,0.0,0.0052083333333333,0.0572916666666666,0.0885416666666666,0.078125,0.24479166666666666
