,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,0.0052083333333333,0.0833333333333333,0.1614583333333333,0.0416666666666666,0.046875,0.0989583333333333
1,0.0,0.0,0.0104166666666666,0.1145833333333333,0.1145833333333333,0.0833333333333333
2,0.0,0.0052083333333333,0.2135416666666666,0.0885416666666666,0.03125,0.2239583333333333
3,0.0,0.0104166666666666,0.0833333333333333,0.1041666666666666,0.0364583333333333,0.046875
4,0.0,0.0,0.0,0.109375,0.0364583333333333,0.109375
5,0.0052083333333333,0.0104166666666666,0.0,0.0104166666666666,0.109375,0.0729166666666666
6,0.0052083333333333,0.0052083333333333,0.109375,0.046875,0.0989583333333333,0.1822916666666666
7,0.0,0.0,0.0,0.1354166666666666,0.0833333333333333,0.3125
8,0.0,0.0572916666666666,0.0677083333333333,0.390625,0.2552083333333333,0.2395833333333333
9,0.0,0.0052083333333333,0.0,0.0052083333333333,0.0885416666666666,0.2135416666666666
10,0.0,0.0,0.0,0.03125,0.1041666666666666,0.1770833333333333
11,0.0,0.0104166666666666,0.0052083333333333,0.078125,0.3333333333333333,0.3697916666666667
12,0.0052083333333333,0.0,0.046875,0.1145833333333333,0.1302083333333333,0.171875
13,0.0,0.0052083333333333,0.0520833333333333,0.0989583333333333,0.1197916666666666,0.0520833333333333
14,0.0,0.1145833333333333,0.0104166666666666,0.0260416666666666,0.140625,0.1666666666666666
15,0.0,0.0625,0.0885416666666666,0.1666666666666666,0.1197916666666666,0.296875
16,0.0,0.0104166666666666,0.0052083333333333,0.0416666666666666,0.0416666666666666,0.1197916666666666
17,0.0104166666666666,0.0052083333333333,0.0104166666666666,0.015625,0.078125,0.015625
18,0.0052083333333333,0.0,0.0677083333333333,0.046875,0.015625,0.03125
19,0.0,0.0,0.0104166666666666,0.234375,0.1458333333333333,0.22395833333333334
