,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,0.0885416666666666,0.015625,0.0416666666666666,0.203125,0.2447916666666666,0.1197916666666666
1,0.0885416666666666,0.0572916666666666,0.1041666666666666,0.015625,0.1197916666666666,0.0416666666666666
2,0.0625,0.0416666666666666,0.0833333333333333,0.0416666666666666,0.3229166666666667,0.0677083333333333
3,0.0729166666666666,0.0729166666666666,0.03125,0.0260416666666666,0.0520833333333333,0.0572916666666666
4,0.15625,0.0520833333333333,0.0260416666666666,0.0364583333333333,0.0625,0.046875
5,0.1614583333333333,0.1145833333333333,0.0572916666666666,0.0677083333333333,0.0625,0.0572916666666666
6,0.0520833333333333,0.0208333333333333,0.0416666666666666,0.0364583333333333,0.109375,0.0364583333333333
7,0.0885416666666666,0.0885416666666666,0.0625,0.0364583333333333,0.0989583333333333,0.0416666666666666
8,0.1302083333333333,0.046875,0.0260416666666666,0.09375,0.0260416666666666,0.0677083333333333
9,0.1145833333333333,0.0520833333333333,0.140625,0.0885416666666666,0.0520833333333333,0.0208333333333333
10,0.1458333333333333,0.3489583333333333,0.328125,0.125,0.3020833333333333,0.1145833333333333
11,0.0989583333333333,0.015625,0.0625,0.0364583333333333,0.125,0.09375
12,0.0520833333333333,0.03125,0.03125,0.046875,0.0625,0.0885416666666666
13,0.1302083333333333,0.1875,0.2447916666666666,0.0677083333333333,0.0572916666666666,0.046875
14,0.1145833333333333,0.1197916666666666,0.125,0.359375,0.1822916666666666,0.0416666666666666
15,0.0989583333333333,0.0625,0.0104166666666666,0.0416666666666666,0.0520833333333333,0.0729166666666666
16,0.1197916666666666,0.0364583333333333,0.0104166666666666,0.03125,0.03125,0.109375
17,0.09375,0.1458333333333333,0.2135416666666666,0.078125,0.1510416666666666,0.046875
18,0.1145833333333333,0.0416666666666666,0.359375,0.2916666666666667,0.2552083333333333,0.0729166666666666
19,0.0989583333333333,0.015625,0.0885416666666666,0.109375,0.1510416666666666,0.041666666666666664
